id,name,followers,popularity,genres
1TC1Dj7qy98gBriJdOgDMh,Glasses Malone,35325,37,west coast trap
49vCIUW46QY3L5vo1xVFoy,Trae Tha Truth,242499,51,dirty south rap;houston rap;trap
5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,538530,56,australian pop
79DOwuMzV2h4es3em0t002,Eric Turner,8820,48,unknown
5NL0NG8VTzLRtKhqsqm3PD,Self,19447,39,unknown
2nszamLjZFgu3Yx77mKxuC,UNKLE,375371,51,electronica;trip hop
7bHm3B3jJju0q9FUdOgp3b,Blockhead,181750,44,downtempo;electronica;instrumental hip hop
2fSaE6BXtQy0x7R7v9IOmZ,Aesop Rock,455858,55,abstract hip hop;alternative hip hop;conscious hip hop
0lEssBAxQl2In4RpaB1C2Y,Talib Kweli,607086,54,conscious hip hop;east coast hip hop
0QalUUx2C9F1PGbfQVcHAd,Kaelin Ellis,36046,45,unknown
5BE212iALXP0t9ZoyYrAHd,Billy Blue,34977,29,bongo flava;miami hip hop
5wUzuAKoHT2ItLdgAfa8sG,Fre$H,3797,30,houston rap
15Dh5PvHQj909E0RgAe0aN,Nivea,736057,46,atl hip hop;contemporary r&b;hip pop;r&b;urban contemporary
3Bj81IbILbuj2uEwWXMdXI,Sosamann,75537,43,atl trap;houston rap;memphis hip hop
0pkwrPVI8UyXtPkavyJoZ4,A.CHAL,173903,47,canadian hip hop;trap soul
1CFCsEqKrCyvAFKOATQHiW,Lecrae,1269658,66,christian hip hop
6WkUZyqghQei2G809wMKuZ,Yung Bans,810052,51,cloud rap;plugg;trap;underground hip hop
0qPUDOVD0aYR2lmCilnscs,Junior Reid,58672,41,lovers rock;old school dancehall;reggae;reggae fusion;roots reggae
7cvtOrIEaUrqbGmYA9Kj34,Gunplay,108002,45,gangster rap;miami hip hop;trap
7q0K7OUpawyl2dLaxPYu6P,Lil Chuckee,6245,18,unknown
0qWtta2AJnHQITmWvhcehs,Jae Millz,63652,46,battle rap;harlem hip hop
4pADjHPWyrlAF0FA7joK2H,Jay Sean,1822064,65,dance pop;pop;pop rap;post-teen pop
5MQIo1YqabUyOjWBzRqPSA,Daz,4972,46,unknown
03UM8fo7vZyT5B2jLVfLtv,Currency,4016,28,unknown
6NyJIFHAePjHR1pFxwisqz,Kurupt,725741,61,g funk;west coast rap
1nSRa2YjjFWJLHGKM07oGQ,Blaque,502622,45,contemporary r&b;girl group;hip pop;r&b;urban contemporary
4Js9eYwAf9rypNtV8pNSw9,Petey Pablo,576765,60,crunk;dirty south rap;north carolina hip hop;southern hip hop
7E1r06wbRiF2soZtFoc62z,Baby,12930,41,unknown
7B6QTq4jOsNMhldln7qA4a,B!G,3875,30,unknown
3j7Sw80qzL2FJlryUhI3wG,Shabba Ranks,178290,49,reggae fusion
2zJoKYyLmhvsq3ORbXE7xF,Kidd Kidd,18385,56,new orleans rap
0eRbECAGCLLiTyVXPBRexU,Jon Batiste,487956,57,new orleans jazz
1HwM5zlC5qNWhJtM00yXzG,DMX,5239950,71,detroit hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap
1nzgtKYFckznkcVMR3Gg4z,KSI,2450385,58,social media pop;uk hip hop
7s47glsDg6fwq9KXNTsTpa,Gudda Gudda,50398,41,unknown
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,46257821,87,emo rap;miami hip hop;rap
4xRYI6VqpkE3UwrDrAZL8L,Logic,6085634,75,conscious hip hop;hip hop;pop rap;rap
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,3022464,71,modern alternative rock;modern rock;stomp pop
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,54015759,88,modern rock;pop;rock
4eAOcbAXIF4BmbN6E1QIlw,Christina Milian,1389110,51,dance pop;hip pop;r&b;urban contemporary
3oHjuEyaFp7MddhOXddXbx,Audio Push,42683,31,deep underground hip hop;soul flow
0fbFfVckGKsDbAfYnB5mD1,Mannie Fresh,257961,54,bounce;dirty south rap
2F3zBRfrDfm2FyNT0YKyAx,Sir Michael Rocks,99104,39,soul flow;underground hip hop
5bgfj5zUoWpyeVatGDjn6H,K CAMP,1711869,59,atl hip hop;melodic rap;southern hip hop;trap
2IK173RXLiCSQ8fhDlAb3s,Adekunle Gold,2019077,63,afrobeats;afropop;alte;azontobeats;nigerian hip hop;nigerian pop
5X4LWwbUFNzPkEas04uU82,DVBBS,1062573,60,canadian electronic;dutch house;edm;electro house;pop dance;progressive electro house;slap house
5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,1423839,62,dirty south rap;philly rap;southern hip hop;trap
5Y8eJDj37KhaEeqbVO7Ag1,PRETTYMUCH,1269592,54,boy band;post-teen pop;teen pop
31lnFZEM6ysvjOx59VyxRE,Krept & Konan,484585,54,grime;uk hip hop
0t5qZrvVCo9YIUT87SQrTn,OJ Da Juiceman,363503,45,atl hip hop;dirty south rap;old school atlanta hip hop;trap
2F4vlQrJakgfJhEW93DFcZ,Mally Mall,11550,36,slow game
2vik8lyw8WiALKMJK7C3hn,Ebenezer,19915,40,uk hip hop
1fYdgyGBrMIEML5cuo5FpZ,Natasha Mosley,67200,55,pop r&b
3HQyFCFFfJO3KKBlUfZsyW,Randy Newman,230726,61,movie tunes;singer-songwriter
05fo024EFotg9songSENOZ,CocoRosie,360452,41,art pop;folktronica;freak folk;new weird america
6CqjoQyGZlnhnq5gAUz92c,Taylor Bennett,122495,40,chicago rap;drill;lgbtq+ hip hop
4x3CdMQ3YjnPn4Evhyni5y,Kierra Sheard,335969,47,gospel;gospel r&b
1vaQ6v3pOFxAIrFoPrAcom,Ari Lennox,806967,61,alternative r&b
5fikk4h5qbEebqK2Fc6e48,En Vogue,1411324,56,contemporary r&b;girl group;hip pop;new jack swing;r&b;urban contemporary
2PU4qFehXQF7WnlFsJpBiJ,Raury,202604,48,psychedelic hip hop
5xI4mPixKfrCCspATqbpy3,Eryn Allen Kane,84239,51,alternative r&b;neo soul
49O0SPoCoTiK2Nn2tOaHyU,Knox Fortune,29810,49,chicago indie
23sYU61n9f1CzYi8NJhAXS,Towkio,58505,43,chicago rap
7BMccF0hQFBpP6417k1OtQ,Action Bronson,829999,64,alternative hip hop;east coast hip hop;hip hop;nyc rap;queens hip hop
1EpyA68dKpjf7jXmQL88Hy,Noname,745730,52,alternative r&b;chicago rap
0IVapwlnM3dEOiMsHXsghT,Nosaj Thing,214249,44,chillwave;electronica;future garage;glitch hop;indietronica;intelligent dance music;wonky
0JdGPxHeRGfOyZg3EHwp2g,Alex Wiley,88689,35,chicago rap;underground hip hop
1ybINI1qPiFbwDXamRtwxD,Smino,960422,66,alternative r&b
6e64nPdtxyICfh90RJukpg,Chicago Children's Choir,2276,41,american choir;children's choir
4hRL2QmahOYxXNmNKtG1AI,Valee,186799,42,atl trap;chicago rap;underground hip hop
1ewyVtTZBqFYWIcepopRhp,Joey Purp,138623,51,chicago rap;indie hip hop;underground hip hop
6f96znq79wvlknKHHHhtTW,Jarreau Vandal,72192,44,dutch r&b;indie soul;neo r&b
31SBgHxc8eqZUk9MdveH42,PREP,293825,52,chill r&b
7Hjbimq43OgxaBRpFXic4x,Saba,770334,59,alternative r&b;chicago rap
4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,1371426,63,chamber pop;folk;indie folk;indie rock;indietronica;modern rock;seattle indie;singer-songwriter;stomp and holler
6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,5647001,71,album rock;alternative metal;birmingham metal;classic rock;glam metal;hard rock;metal;rock
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,10391545,91,contemporary country
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,1073261,68,melodic rap;slap house
69NjH5MsRLr0CX0zSlGmN3,Jake Shimabukuro,84596,49,ukulele
34bhyY8jfKez7uKakMfy4y,Maddie & Tae,1184303,59,contemporary country;country;country road
7yPbJOX7olhT3ynAyuj3Zl,Runaway June,130761,36,contemporary country;country pop;country road
0uNC9XuH437fKCCMuzvSks,Ricky Skaggs,133551,49,bluegrass;bluegrass gospel;classic country pop;country rock;mandolin;old-time;progressive bluegrass
3NPZs8XgXtaWslUcnIw6rY,Iris DeMent,86311,47,arkansas country;folk;singer-songwriter
3XlIhgydjvC4EniPFZT20j,Trisha Yearwood,1184471,57,contemporary country;country;country dawn;country road
3U7k7hBsHF9dy4ELW53Wrv,John Anderson,502989,53,classic country pop;country;country road;country rock
7vCtweS8UVAXTyau2j0rDT,Josh Turner,2613554,65,contemporary country;country;country road
1DTZRmlVZBxx2wRQBtx6yi,Midland,304601,62,classic texas country;neo-traditional country
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,4727212,75,contemporary country;country;country road;modern country rock
371jpyGdoChzUASOIG2ECV,Ashley McBryde,297310,56,arkansas country;contemporary country;country;country road
39NR3AUhpbbqKM33vWn2fp,Brothers Osborne,1259584,62,contemporary country;country;country road;modern country rock;modern southern rock
0fiWOxhsBsQQvFDtxUQWo0,Brett Young,1144737,65,contemporary country;country;country road;modern country rock
763opp15PhfHpEaiVjM6m7,Jerry Jeff Walker,133989,42,classic texas country;country rock;outlaw country
2lRH2dgU5Kk4Bc5phmII4T,LANCO,386186,52,contemporary country;country road;modern country rock
2iM28IgKg89v1o7BTQAVPo,Bruce Hornsby,410883,40,album rock;heartland rock;mellow gold;piano rock;singer-songwriter;soft rock
4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,2046067,73,contemporary country;country;country road;modern country rock
5iB5AWIa7qreioi0AF3Bxa,The Bellamy Brothers,389624,58,classic country pop;country;country rock
43c94u7flZbHSdDaUuohqS,Buddy Jewell,65604,35,country road
45S8rtgQSxj1a0tzCNhSeD,Steve Wariner,160658,45,classic country pop;country;country road
6ghiFYcwn2Vzl6K50U0UPz,Michael Ray,504441,51,contemporary country;country road;modern country rock
2v7wIbCkIzxOfT3GnqCexD,Cody Jinks,1041598,65,classic texas country;modern southern rock;outlaw country
7qvsLYsYP0MHD7jkdv6DAG,Sara Evans,1144682,53,contemporary country;country;country dawn;country gospel;country road
3Ay15wt0QChT4Kapsuw5Jt,Clint Black,1059258,58,contemporary country;country;country road
